,Pressure Height FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAT Degrees Celcius,,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
,10000,1510,1514,1518,1522,1526,1530,1536,1542,1548,1554,1560,1566,1572,1578,1584,1590,1596,1602,1608,1614,1620,1626,1631,1637,1642,1648,1653,1659,1664,1670,1675,1681,1687,1693,1699,1705,1711,1717,1723,1729,1735,1741,1746,1752,1757,1763,1768,1774,1779,1785,1790
,9500,1483,1487,1491,1495,1499,1503,1508,1514,1519,1525,1530,1536,1542,1548,1554,1560,1566,1572,1578,1584,1590,1596,1601,1607,1612,1618,1623,1629,1634,1640,1645,1651,1657,1662,1668,1674,1680,1685,1691,1697,1703,1708,1713,1719,1724,1729,1735,1740,1746,1751,1756
,9000,1455,1459,1463,1467,1471,1475,1480,1485,1490,1495,1500,1506,1512,1518,1524,1530,1536,1542,1548,1554,1560,1566,1571,1577,1582,1588,1593,1599,1604,1610,1615,1621,1626,1632,1637,1643,1648,1654,1659,1665,1670,1675,1681,1686,1691,1696,1702,1707,1712,1717,1723
,8500,1428,1432,1436,1440,1444,1448,1452,1457,1461,1466,1470,1476,1482,1488,1494,1500,1506,1512,1518,1524,1530,1536,1541,1547,1552,1558,1563,1569,1574,1580,1585,1590,1596,1601,1606,1611,1617,1622,1627,1632,1638,1643,1648,1653,1658,1663,1668,1673,1679,1684,1689
,8000,1400,1404,1408,1412,1416,1420,1424,1428,1432,1436,1440,1446,1452,1458,1464,1470,1476,1482,1488,1494,1500,1506,1511,1517,1522,1528,1533,1539,1544,1550,1555,1560,1565,1570,1575,1580,1585,1590,1595,1600,1605,1610,1615,1620,1625,1630,1635,1640,1645,1650,1655
,7500,1373,1377,1382,1386,1391,1395,1400,1404,1409,1413,1418,1423,1429,1435,1441,1446,1452,1458,1464,1469,1475,1480,1486,1491,1496,1501,1507,1512,1517,1522,1528,1533,1538,1543,1548,1553,1558,1563,1568,1573,1578,1582,1587,1592,1597,1601,1606,1611,1616,1620,1625
,7000,1345,1350,1355,1360,1365,1370,1375,1380,1385,1390,1395,1401,1406,1412,1417,1423,1428,1434,1439,1445,1450,1455,1460,1465,1470,1475,1480,1485,1490,1495,1500,1505,1510,1515,1520,1525,1530,1535,1540,1545,1550,1555,1559,1564,1568,1573,1577,1582,1586,1591,1595
,6500,1318,1323,1329,1334,1340,1345,1351,1356,1362,1367,1373,1378,1383,1388,1394,1399,1404,1409,1415,1420,1425,1430,1435,1439,1444,1449,1454,1458,1463,1468,1473,1478,1483,1488,1493,1498,1503,1508,1513,1518,1523,1527,1531,1535,1540,1544,1548,1552,1557,1561,1565
,6000,1290,1296,1302,1308,1314,1320,1326,1332,1338,1344,1350,1355,1360,1365,1370,1375,1380,1385,1390,1395,1400,1405,1409,1414,1418,1423,1427,1432,1436,1441,1445,1450,1455,1460,1465,1470,1475,1480,1485,1490,1495,1499,1503,1507,1511,1515,1519,1523,1527,1531,1535
